date,portfolio,benchmark
2015-01-02,10000.0,10000.0
2015-01-05,9885.456304786938,9814.198382102342
2015-01-06,9893.380397163979,9741.294307173623
2015-01-07,10040.91411227319,9860.667953125412
2015-01-08,10337.375325373843,10041.988979563092
2015-01-09,10240.917557308123,9946.379663481404
2015-01-12,10159.887302732937,9892.250044384251
2015-01-13,10150.868556281652,9877.019757206923
2015-01-14,10109.333368318044,9772.387925249584
2015-01-15,9981.075088613017,9712.735054445593
2015-01-16,10191.271084325312,9819.761062137843
2015-01-20,10185.153359871008,9821.813525691006
2015-01-21,10242.249515910633,9843.710486106389
2015-01-22,10457.52239611252,9989.340113253493
2015-01-23,10426.89319052498,9910.05960139493
2015-01-26,10481.645972939898,9913.480008906421
2015-01-27,10164.832865658971,9750.025491509712
2015-01-28,9975.926510194984,9640.20554863917
2015-01-29,10166.32303305348,9766.6456272724
2015-01-30,9854.732354620934,9625.390354144154
2015-02-02,9962.046949858272,9735.349391396367
2015-02-03,10136.981614325072,9906.5833370845
2015-02-04,10163.941197014025,9910.295076135555
2015-02-05,10248.461315092309,10029.098106553087
2015-02-06,10227.365258846048,9995.120744327989
2015-02-09,10165.087975348126,9941.804882125178
2015-02-10,10290.470714749785,10020.058066975807
2015-02-11,10285.923183592351,10016.346327924752
2015-02-12,10477.575033530335,10078.164471111137
2015-02-13,10594.196902749096,10104.502594657833
2015-02-17,10568.907735889245,10120.333068615917
2015-02-18,10561.64954028003,10110.3905584048
2015-02-19,10498.825072611704,10085.67228202733
2015-02-20,10626.125241704283,10172.404748003148
2015-02-23,10656.746311188137,10159.171067580046
2015-02-24,10700.322007820101,10210.956891584472
2015-02-25,10705.88881562937,10219.581838479442
2015-02-26,10911.517398325694,10213.889921144439
2015-02-27,10851.70049539258,10168.064346156192
2015-03-02,10846.80456071785,10255.504331585234
2015-03-03,10766.369963021945,10207.693102156281
2015-03-04,10637.319094260662,10147.989850710112
2015-03-05,10706.503669406871,10169.758669057339
2015-03-06,10556.382819375995,10013.33991786422
2015-03-09,10650.967810133996,10091.252485764457
2015-03-10,10455.761951983386,9904.642587129214
2015-03-11,10416.021451181256,9889.19434891289
2015-03-12,10600.155014711523,10034.89626132921
2015-03-13,10496.065567390706,9953.075907965957
2015-03-16,10659.920159174333,10080.99016799863
2015-03-17,10656.94915753512,10009.022515875651
2015-03-18,10761.098277965102,10136.376017456234
2015-03-19,10745.893455847683,10070.677469590628
2015-03-20,10856.386185274503,10165.233173111938
2015-03-23,10783.32857594549,10158.722022725833
2015-03-24,10742.172054066014,10099.899337286462
2015-03-25,10518.315329050303,9935.82053801926
2015-03-26,10502.652075520638,9913.217153382004
2015-03-27,10568.393690150098,9932.523891650515
2015-03-30,10672.437588415964,10080.368076590843
2015-03-31,10595.078587428343,9968.109053499971
2015-04-01,10518.430048617383,9924.403846408699
2015-04-02,10543.736822419756,9960.887097966583
2015-04-06,10599.79461361986,10026.83754904309
2015-04-07,10614.323254123883,10023.792805885249
2015-04-08,10698.01195385144,10038.98366473391
2015-04-09,10653.12287530772,10070.509899193812
2015-04-10,10670.604952433596,10125.980081465497
2015-04-13,10591.798988654326,10080.776597885042
2015-04-14,10585.117623402011,10114.23153475536
2015-04-15,10569.807790931249,10156.798796472172
2015-04-16,10573.415262647217,10152.96329627837
2015-04-17,10401.817433044951,9996.248832620282
2015-04-20,10515.76574935452,10113.239255150682
2015-04-21,10534.835445932877,10065.384216467657
2015-04-22,10689.541202838296,10115.11210076216
2015-04-23,10724.298216938338,10126.562744544624
2015-04-24,10725.97193784037,10138.59167048081
2015-04-27,10620.769353695387,10114.944530365345
2015-04-28,10550.614985505897,10155.414424043569
2015-04-29,10791.6226320658,10113.575491175667
2015-04-30,10621.44010952126,10004.222116860965
2015-05-01,10745.50264104174,10107.144292678237
2015-05-04,10701.227847647082,10133.129751729673
2015-05-05,10581.07808137052,10053.389242703377
2015-05-06,10500.745350320278,10005.04134991207
2015-05-07,10503.278292915422,10051.068447469035
2015-05-08,10707.97131968361,10200.818334961394
2015-05-11,10649.565255132191,10152.627060253386
2015-05-12,10604.190716025982,10131.912949697886
2015-05-13,10639.452981217193,10127.572547850932
2015-05-14,10742.939653561021,10235.097981039573
2015-05-15,10774.894626733654,10246.4927680231
2015-05-18,10818.824532827679,10261.252105719179
2015-05-19,10855.18691334544,10268.827820979179
2015-05-20,10853.71578482331,10253.692818929454
2015-05-21,10824.164833222272,10253.883389184657
2015-05-22,10772.235037688984,10223.759050854986
2015-05-26,10639.918186854477,10116.945518044977
2015-05-27,10774.779980192858,10185.050289190363
2015-05-28,10719.03871797151,10164.374511732172
2015-05-29,10692.17653920954,10099.64086268745
2015-06-01,10680.227087656938,10116.289474465284
2015-06-02,10616.517337643412,10100.347286909324
2015-06-03,10666.572567819832,10136.420921941657
2015-06-04,10576.479582303444,10040.70536841885
2015-06-05,10612.561771299552,10009.236085989241
2015-06-08,10512.238882016103,9962.743515107786
2015-06-09,10491.91642764556,9961.335047589444
2015-06-10,10644.404445626347,10093.876660083231
2015-06-11,10650.626752129565,10115.728716013191
2015-06-12,10540.522962448991,10036.925725023988
2015-06-15,10506.250040429204,9976.548906296497
2015-06-16,10581.468015273735,10040.08875316782
2015-06-17,10609.321571067914,10057.617930952454
2015-06-18,10786.257699606034,10158.610309127953
2015-06-19,10703.642189237436,10102.595796874451
2015-06-22,10779.817638987473,10160.819390764418
2015-06-23,10773.81804061785,10174.440783086036
2015-06-24,10665.244020182558,10074.625778613658
2015-06-25,10629.587610781018,10032.170230494723
2015-06-26,10595.425333464042,10063.75232175356
2015-06-29,10300.826420173475,9867.301769422915
2015-06-30,10311.513318924866,9880.289022791874
2015-07-01,10419.64527074908,9957.898211607677
2015-07-02,10408.235284374809,9942.308688546978
2015-07-06,10352.46389698246,9916.216992054426
2015-07-07,10412.399406981633,9968.552622197427
2015-07-08,10307.78682816694,9821.919763132126
2015-07-09,10368.699994974239,9840.53650564904
2015-07-10,10506.878586031433,9959.300107737909
2015-07-13,10631.862138957786,10081.135833768412
2015-07-14,10691.368941942774,10123.697619328466
2015-07-15,10693.170962191816,10121.785345388325
2015-07-16,10741.36345061303,10161.083341520187
2015-07-17,10747.85243123895,10142.129267746937
2015-07-20,10796.63261300719,10149.957981449192
2015-07-21,10828.56159604076,10048.392797276729
2015-07-22,10771.713789344096,10010.12103292145
2015-07-23,10726.27996440389,9943.323968010045
2015-07-24,10822.220585169147,9851.701294048698
2015-07-27,10711.746930871066,9779.958164352827
2015-07-28,10838.395267158048,9886.322652308621
2015-07-29,10971.99820112497,9954.242329355562
2015-07-30,11018.156422113145,9951.208538511237
2015-07-31,11001.64255678788,9919.738160850276
2015-08-03,10982.450376291485,9868.338953513015
2015-08-04,10977.13909018102,9841.697450881886
2015-08-05,11029.19823090853,9835.96720044957
2015-08-06,10764.298591132234,9768.272045829737
2015-08-07,10808.998650494508,9742.270158308025
2015-08-10,10862.477509574677,9877.855418728303
2015-08-11,10758.078200360666,9758.789532786353
2015-08-12,10763.366151402883,9758.60443868791
2015-08-13,10779.730336945631,9761.823323630679
2015-08-14,10852.652667309227,9800.599989639111
2015-08-17,10942.759439682948,9838.607803238621
2015-08-18,10883.528226265233,9819.631824838336
2015-08-19,10822.26467746469,9728.447243417688
2015-08-20,10517.831760617628,9527.672717710362
2015-08-21,10177.42967354738,9229.94393182141
2015-08-24,9757.284508512214,8899.993439564203
2015-08-25,9622.985305159511,8785.088885143197
2015-08-26,10147.79523615737,9132.237247701138
2015-08-27,10392.047454415479,9339.302782292869
2015-08-28,10404.426135249445,9332.70839432403
2015-08-31,10258.614953796736,9268.232124646966
2015-09-01,9914.14299401928,9004.855270105409
2015-09-02,10092.815076920839,9169.174472654318
2015-09-03,10038.763348435476,9182.284939550347
