window_end,train_start,train_end,test_start,test_end,n_train,n_test,mse
2015-01-01,2010-01-01,2015-01-01,2015-01-01,2015-02-01,36482,580,0.01396278532560553
2015-02-01,2010-02-01,2015-02-01,2015-02-01,2015-03-01,36511,551,0.02085753809915885
2015-03-01,2010-03-01,2015-03-01,2015-03-01,2015-04-01,36511,638,0.02618013201508111
2015-04-01,2010-04-01,2015-04-01,2015-04-01,2015-05-01,36482,609,0.01147829766098613
2015-05-01,2010-05-01,2015-05-01,2015-05-01,2015-06-01,36482,580,0.016699887504676866
2015-06-01,2010-06-01,2015-06-01,2015-06-01,2015-07-01,36482,638,0.015303826973488898
2015-07-01,2010-07-01,2015-07-01,2015-07-01,2015-08-01,36482,638,0.018389778335237868
2015-08-01,2010-08-01,2015-08-01,2015-08-01,2015-09-01,36511,609,0.01912444257315876
2015-09-01,2010-09-01,2015-09-01,2015-09-01,2015-10-01,36482,609,0.015976770899329747
2015-10-01,2010-10-01,2015-10-01,2015-10-01,2015-11-01,36482,638,0.009781055540880006
2015-11-01,2010-11-01,2015-11-01,2015-11-01,2015-12-01,36511,580,0.011886643959117274
2015-12-01,2010-12-01,2015-12-01,2015-12-01,2016-01-01,36482,638,0.012150232560881612
2016-01-01,2011-01-01,2016-01-01,2016-01-01,2016-02-01,36482,551,0.02053971724760249
2016-02-01,2011-02-01,2016-02-01,2016-02-01,2016-03-01,36453,580,0.008430961849832117
2016-03-01,2011-03-01,2016-03-01,2016-03-01,2016-04-01,36482,638,0.005680776066686448
2016-04-01,2011-04-01,2016-04-01,2016-04-01,2016-05-01,36453,609,0.007372921973928875
2016-05-01,2011-05-01,2016-05-01,2016-05-01,2016-06-01,36482,609,0.011079051005989741
2016-06-01,2011-06-01,2016-06-01,2016-06-01,2016-07-01,36482,638,0.0197096373063193
2016-07-01,2011-07-01,2016-07-01,2016-07-01,2016-08-01,36482,580,0.016396532192842636
2016-08-01,2011-08-01,2016-08-01,2016-08-01,2016-09-01,36482,667,0.016695938064147788
2016-09-01,2011-09-01,2016-09-01,2016-09-01,2016-10-01,36482,609,0.013988253185193936
2016-10-01,2011-10-01,2016-10-01,2016-10-01,2016-11-01,36482,609,0.012643566479616081
2016-11-01,2011-11-01,2016-11-01,2016-11-01,2016-12-01,36482,609,0.010600350008584794
2016-12-01,2011-12-01,2016-12-01,2016-12-01,2017-01-01,36482,609,0.011406358069399283
2017-01-01,2012-01-01,2017-01-01,2017-01-01,2017-02-01,36482,580,0.013386784962450817
2017-02-01,2012-02-01,2017-02-01,2017-02-01,2017-03-01,36482,551,0.014641416091449443
2017-03-01,2012-03-01,2017-03-01,2017-03-01,2017-04-01,36453,667,0.012794262307542352
2017-04-01,2012-04-01,2017-04-01,2017-04-01,2017-05-01,36482,551,0.015363240379834681
2017-05-01,2012-05-01,2017-05-01,2017-05-01,2017-06-01,36453,638,0.01562348281118413
2017-06-01,2012-06-01,2017-06-01,2017-06-01,2017-07-01,36453,638,0.01963074661623736
2017-07-01,2012-07-01,2017-07-01,2017-07-01,2017-08-01,36482,580,0.024751366417616008
2017-08-01,2012-08-01,2017-08-01,2017-08-01,2017-09-01,36453,667,0.017164367896147045
2017-09-01,2012-09-01,2017-09-01,2017-09-01,2017-10-01,36453,580,0.015934252971222553
2017-10-01,2012-10-01,2017-10-01,2017-10-01,2017-11-01,36482,638,0.015438317513771624
2017-11-01,2012-11-01,2017-11-01,2017-11-01,2017-12-01,36511,609,0.014679083961923037
2017-12-01,2012-12-01,2017-12-01,2017-12-01,2018-01-01,36511,580,0.015658970229013178
2018-01-01,2013-01-01,2018-01-01,2018-01-01,2018-02-01,36511,609,0.013644866483075188
2018-02-01,2013-02-01,2018-02-01,2018-02-01,2018-03-01,36511,551,0.0124915821257845
2018-03-01,2013-03-01,2018-03-01,2018-03-01,2018-04-01,36511,609,0.012964360462983021
2018-04-01,2013-04-01,2018-04-01,2018-04-01,2018-05-01,36540,609,0.01366464202762247
2018-05-01,2013-05-01,2018-05-01,2018-05-01,2018-06-01,36511,638,0.015704907217408304
2018-06-01,2013-06-01,2018-06-01,2018-06-01,2018-07-01,36511,609,0.0172015315835843
2018-07-01,2013-07-01,2018-07-01,2018-07-01,2018-08-01,36540,609,0.010204278409811104
2018-08-01,2013-08-01,2018-08-01,2018-08-01,2018-09-01,36511,667,0.009276326481279061
2018-09-01,2013-09-01,2018-09-01,2018-09-01,2018-10-01,36540,551,0.010064955100941032
2018-10-01,2013-10-01,2018-10-01,2018-10-01,2018-11-01,36511,667,0.010654598704832484
2018-11-01,2013-11-01,2018-11-01,2018-11-01,2018-12-01,36511,609,0.01027620678987995
2018-12-01,2013-12-01,2018-12-01,2018-12-01,2019-01-01,36540,551,0.01335213200946608
2019-01-01,2014-01-01,2019-01-01,2019-01-01,2019-02-01,36482,609,0.024826645096124537
2019-02-01,2014-02-01,2019-02-01,2019-02-01,2019-03-01,36482,551,0.01573498673802877
2019-03-01,2014-03-01,2019-03-01,2019-03-01,2019-04-01,36482,617,0.012453851476821598
2019-04-01,2014-04-01,2019-04-01,2019-04-01,2019-05-01,36490,630,0.012841816532557941
2019-05-01,2014-05-01,2019-05-01,2019-05-01,2019-06-01,36511,660,0.014027278563410303
2019-06-01,2014-06-01,2019-06-01,2019-06-01,2019-07-01,36562,600,0.015997028335352558
2019-07-01,2014-07-01,2019-07-01,2019-07-01,2019-08-01,36553,660,0.016384776869142036
2019-08-01,2014-08-01,2019-08-01,2019-08-01,2019-09-01,36575,660,0.020391881703008135
2019-09-01,2014-09-01,2019-09-01,2019-09-01,2019-10-01,36626,600,0.07465377313360409
2019-10-01,2014-10-01,2019-10-01,2019-10-01,2019-11-01,36617,690,0.047152583789404685
2019-11-01,2014-11-01,2019-11-01,2019-11-01,2019-12-01,36640,600,0.04306307282890189
2019-12-01,2014-12-01,2019-12-01,2019-12-01,2020-01-01,36689,630,0.028965559809172568
2020-01-01,2015-01-01,2020-01-01,2020-01-01,2020-02-01,36681,630,0.025977982660684348
2020-02-01,2015-02-01,2020-02-01,2020-02-01,2020-03-01,36731,570,0.03876098077252475
2020-03-01,2015-03-01,2020-03-01,2020-03-01,2020-04-01,36750,660,0.07221216422137128
2020-04-01,2015-04-01,2020-04-01,2020-04-01,2020-05-01,36772,630,0.04601892320773925
2020-05-01,2015-05-01,2020-05-01,2020-05-01,2020-06-01,36793,600,0.05349570089114138
2020-06-01,2015-06-01,2020-06-01,2020-06-01,2020-07-01,36813,660,0.05651134999699638
2020-07-01,2015-07-01,2020-07-01,2020-07-01,2020-08-01,36835,660,0.0327595197623132
2020-08-01,2015-08-01,2020-08-01,2020-08-01,2020-09-01,36857,630,0.052048945054860074
2020-09-01,2015-09-01,2020-09-01,2020-09-01,2020-10-01,36878,630,0.07026230444601904
2020-10-01,2015-10-01,2020-10-01,2020-10-01,2020-11-01,36899,660,0.04935055998661692
2020-11-01,2015-11-01,2020-11-01,2020-11-01,2020-12-01,36921,600,0.03341976737304994
2020-12-01,2015-12-01,2020-12-01,2020-12-01,2021-01-01,36941,660,0.01676970681482461
2021-01-01,2016-01-01,2021-01-01,2021-01-01,2021-02-01,36963,570,0.010980301865081647
2021-02-01,2016-02-01,2021-02-01,2021-02-01,2021-03-01,36982,570,0.010513111221628813
