,ret_1m,ret_3m,ret_6m,vol_3m,rsi_14,drawdown_52w,SP500_ret_1m,SP500_ret_3m,SP500_z_1y,VIX_ret_1m,VIX_ret_3m,VIX_z_1y,OIL_ret_1m,OIL_ret_3m,OIL_z_1y,GOLD_ret_1m,GOLD_ret_3m,GOLD_z_1y,DXY_ret_1m,DXY_ret_3m,DXY_z_1y,US10Y_ret_1m,US10Y_ret_3m,US10Y_z_1y,NetMargin,ROE,DebtToEquity,has_fundamentals
2015-01-01,0.0002809942,0.0019166704,0.003715999,0.008680461,0.0019099585,0.00089443143,0.0029697737,0.010272538,0.0014070047,0.00021450098,0.0002034362,0.00089580717,0.0057018935,0.016958494,0.0,0.0003343381,0.00041272293,0.003731079,0.0005207692,0.005828435,0.0038390497,0.00015315195,0.0021844453,0.0006716144,0.0,0.0,0.0,0.0
2015-02-01,0.0005431977,0.0014791796,0.0042877127,0.010151522,0.0017896774,0.001215518,0.000746969,0.0018386374,0.0023671342,0.00013396134,0.00012443608,0.0017517953,0.0015623748,0.014931656,0.0,0.00032557512,0.00038134988,0.0029700152,0.0003553149,0.0051506283,0.0030967863,0.00012011081,0.0012055227,0.0002441915,0.0,0.0,0.0,0.0
2015-03-01,0.00019200347,0.0018903057,0.0030412094,0.008320528,0.0007289341,0.0017634605,0.00117303,0.010204248,0.0022148208,0.00015896205,0.0003565807,0.001531473,0.00346007,0.0069390023,0.013728287,0.00012064161,0.000654461,0.0020095191,0.0018009228,0.0064810957,0.0043356656,0.00011994225,0.0027119783,0.00031259784,0.0,0.0,0.0,0.0
2015-04-01,0.0016725629,0.0015270091,0.0041183224,0.009702154,0.0002907498,0.00194162,0.0012599258,0.011732341,0.0035047128,6.487532e-05,0.00014410565,0.0019683621,0.0016838913,0.006436846,0.07505353,0.0001847335,0.0006907653,0.0014234332,0.0010813258,0.011025907,0.003784059,4.693725e-05,0.00085065427,0.0013070117,0.0,0.0,0.0,0.0
2015-05-01,9.786568e-05,0.001804009,0.0027545686,0.006621382,0.00074638054,0.0019738497,0.0010291754,0.007710704,0.0034941407,0.00016696032,0.00016319334,0.0016483442,0.0010957699,0.008168876,0.021005273,0.00033527485,0.00023457008,0.001809768,0.00044401005,0.0008695365,0.0023347938,0.00017121954,0.00052882405,0.00037201834,0.0,0.0,0.0,0.0
2015-06-01,0.0006019174,0.0026355495,0.0032193316,0.009243797,0.0012268975,0.011146546,0.0014767471,0.006643877,0.0029613897,0.00010059615,0.00024528854,0.0010195628,0.0008471874,0.0042915456,0.034998316,0.00047587778,0.00024831548,0.0009006313,9.022026e-05,0.004449276,0.0022272242,0.00010021289,0.0009899501,0.0011449931,0.0,0.0,0.0,0.0
2015-07-01,0.00028260946,0.0010687371,0.0030343255,0.01459557,0.00069124805,0.011189652,0.0013733765,0.015963709,0.0020626392,0.00016843458,0.00012784603,0.0009252344,0.0016205403,0.0034695321,0.05747407,0.00019772977,0.00064972125,0.0024155544,0.00010935207,0.0032704957,0.0014987956,7.154549e-05,0.0020279402,0.0010488424,0.0,0.0,0.0,0.0
2015-08-01,0.0030159832,0.0022985197,0.004741159,0.014410661,0.00045772502,0.00775929,0.00459813,0.03089281,0.018511139,0.0002205126,0.0002580816,0.0013125926,0.0031412945,0.011834019,0.07938225,0.00018749881,0.0018782489,0.0021936195,0.0001309073,0.0020794778,0.005469553,0.0002024804,0.0035687366,0.002289652,0.0,0.0,0.0,0.0
2015-09-01,0.00068867166,0.0023448188,0.0025463323,0.01583199,0.0004813827,0.0112560745,0.008162117,0.01965074,0.037364572,0.0006234712,0.00017063082,0.002249198,0.00078867434,0.008575928,0.10483594,0.0023891525,0.0054630637,0.0009309865,0.00021702838,0.0009034413,0.004631752,0.00026080053,0.0027549986,0.0007543242,0.0,0.0,0.0,0.0
2015-10-01,0.00024405627,0.0016604096,0.0027020439,0.011366563,0.0009915982,0.011750458,0.00035330388,0.012528122,0.033509504,0.00021003399,0.0003059835,0.001680751,0.0007640781,0.0018444108,0.08121713,0.00030246394,0.0068775234,0.0045765243,0.00032900224,0.000962828,0.0072107646,0.00015924218,0.003035858,0.0012439421,0.0,0.0,0.0,0.0
